,Unnamed: 0,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
0,0,牛坑腩 uk-9012,牛坑腩,金山,Beef,抄,英國,hewitt,2023-10-30,,,,,,,$ 8 .0,LB,其士,
1,1,excel 牛下肩肉眼卷(1x1) choice,牛下肩肉眼卷,金山,Beef,抄,美國,excel,2023-10-30,choice,1x1,,,,,$ 3 7.5,LB,其士,
2,2, dawn meat 牛胸油,牛胸油,金山,Beef,抄**,愛爾蘭,dawn meat,2023-10-30,,,,,,,$ 2 5.0,LB,其士,
3,3, pantanal 牛頭肉,牛頭肉,金山,Beef,25kg,巴西,pantanal,2023-10-30,,,,,,,$ 8 .5,LB,其士,
4,4, minerva 牛細腩包,牛細腩包,金山,Beef,抄,巴西,minerva,2023-10-30,,,,,,,$ 1 4.8,LB,其士,
5,5, plena 牛細腩包,牛細腩包,金山,Beef,抄,巴西,plena,2023-10-30,,,,,,,$ 1 4.8,LB,其士,
6,6, gejota 鯉魚管,鯉魚管,金山,Beef,抄**,巴西,gejota,2023-10-30,,,,,,,$ 1 9.5,LB,其士,
7,7, i. b. p. 牛肩肋條(有label),牛肩肋條(有label),金山,Beef,抄,美國,ibp,2023-10-30,有label,,,,,,$ 4 3.0,LB,其士,
8,8,canadian diamond 金 錢 𦟌 p-38,金 錢 𦟌 p-38,金山,,抄,加拿大,canadian diamond,2023-10-30,,,,,,,$ 3 3.5,LB,其士,
9,9, i. b. p 金 錢 𦟌 choice (有label),金 錢 𦟌 choice (有label),金山,,抄,美國,ibp,2023-10-30,choice,有label,,,,,$ 3 6.5,LB,其士,
10,10, i. b. p 金 錢 𦟌 nr (有label),金 錢 𦟌 nr (有label),金山,,抄,美國,ibp,2023-10-30,nr,有label,,,,,$ 3 6.5,LB,其士,
11,11, quality beef 牛 𦟌,牛 𦟌,金山,Beef,抄,巴西,quality beef,2023-10-30,,,,,,,$ 1 4.0,LB,其士,
12,12,gejota 牛柳頭 1k+,牛柳頭,金山,Beef,抄,巴西,gejota,2023-10-30,1k+,,,,,,$ 2 6.5,LB,其士,
13,13,minerva 牛柳頭 1k+,牛柳頭,金山,Beef,抄,巴西,minerva,2023-10-30,1k+,,,,,,$ 2 7.0,LB,其士,
14,14,boi brasil 牛柳頭 1-1.5k,牛柳頭,金山,Beef,抄,巴西,boi brasil,2023-10-30,1-1.5k,,,,,,$ 2 6.5,LB,其士,
15,15,masterboi 牛柳頭 1.5k+,牛柳頭,金山,Beef,抄,巴西,boi brasil,2023-10-30,1.5k+,,,,,,$ 2 7.0,LB,其士,
16,16,quality beef 牛柳頭 1.5-2k,牛柳頭,金山,Beef,抄,巴西,quality beef,2023-10-30,1.5-2k,,,,,,$ 2 6.5,LB,其士,
17,17,plena 牛柳頭 2k+,牛柳頭,金山,Beef,抄,巴西,plena,2023-10-30,2k+,,,,,,$ 2 7.0,LB,其士,
18,18,dom glutao 牛柳頭 2k+,牛柳頭,金山,Beef,抄,巴西,dom glutao,2023-10-30,2k+,,,,,,$ 2 6.5,LB,其士,
19,19,i. b. p. 肥牛肉肩胛 cab prime p-245c,肩胛,金山,Beef,抄,美國,ibp,2023-10-30,cab,prime,pr,,,,$ 8 2.5,LB,其士,
20,20, i. b. p. 肥牛肉肩胛 prime,肩胛,金山,Beef,抄,美國,ibp,2023-10-30,prime,pr,,,,,$ 8 0.0,LB,其士,
21,21,i. b. p. 肥牛肉肩胛 cab p-278,肩胛,金山,Beef,抄,美國,ibp,2023-10-30,cab,,,,,,$ 6 3.0,LB,其士,
22,22,excel 去骨牛小排 prime p-86e,去骨牛小排,金山,Beef,抄,美國,excel,2023-10-30,prime,pr,,,,,$ 148.0,LB,其士,
23,23, national 去骨牛小排 prime,去骨牛小排,金山,Beef,抄,美國,national beef,2023-10-30,prime,pr,,,,,$ 158.0,LB,其士,
24,24, excel 去骨牛小排 cab,去骨牛小排,金山,Beef,抄,美國,excel,2023-10-30,cab,,,,,,$ 125.0,LB,其士,
25,25, ibp 去骨牛小排 choice,去骨牛小排,金山,Beef,抄,美國,ibp,2023-10-30,choice,,,,,,$ 113.0,LB,其士,
26,26,excel 去骨牛小排 choice p-86e,去骨牛小排,金山,Beef,抄,美國,excel,2023-10-30,choice,,,,,,$ 110.0,LB,其士,
27,27,national 肥牛肉 pastrami prime 6x12,肥牛肉 pastrami prime 6x12,金山,Beef,抄**,美國,national beef,2023-10-30,prime,pr,,,,,$ 5 2.0,LB,其士,
28,28,ibp 肥牛肉 pastrami prime 6x12,肥牛肉 pastrami prime 6x12,金山,Beef,抄,美國,ibp,2023-10-30,prime,pr,,,,,$ 5 0.0,LB,其士,
29,29,ibp 肥牛肉 pastrami cab 6x12,肥牛肉 pastrami cab 6x12,金山,Beef,抄,美國,ibp,2023-10-30,cab,,,,,,$ 4 9.0,LB,其士,
30,30,national 肥牛肉 pastrami choice 6x12,肥牛肉 pastrami choice 6x12,金山,Beef,抄**,美國,national beef,2023-10-30,choice,,,,,,$ 4 9.0,LB,其士,
31,31,ibp 肥牛肉 pastrami choice 6x12,肥牛肉 pastrami choice 6x12,金山,Beef,抄,美國,ibp,2023-10-30,choice,,,,,,$ 4 6.0,LB,其士,
32,32,excel 肥牛肉 pastrami prime 9x12 p-86m/r,肥牛肉 pastrami prime 9x12 p-86m/r,金山,Beef,抄,美國,excel,2023-10-30,prime,9x12,9x12,pr,,,$ 3 8.0,LB,其士,
33,33,excel 肥牛肉 pastrami a/aa 9x12 p-93,肥牛肉 pastrami a/aa 9x12 p-93,金山,Beef,抄,加拿大,excel,2023-10-30,9x12,9x12,a/aa,aa,,,$ 3 4.0,LB,其士,
34,34, sukarne 肥牛肉 super obento plate,肥牛肉 super obento plate,金山,Beef,抄,墨西哥,sukarne,2023-10-30,,,,,,,$ 2 0.5,LB,其士,
35,35,國 肥牛肉 super upper plate,er plate,金山,,抄,英國,pif paf,2023-10-30,,,,,,,$ 2 2.5,LB,其士,
36,36, ibp 肥牛肉 karubi cab prime,肥牛肉 karubi cab prime,金山,Beef,抄,美國,ibp,2023-10-30,cab,prime,pr,,,,$ 3 9.5,LB,其士,
37,37, ibp 肥牛肉 karubi cab,肥牛肉 karubi cab,金山,Beef,抄,美國,ibp,2023-10-30,cab,,,,,,$ 3 9.0,LB,其士,
38,38, ibp 肥牛肉 karubi choice,肥牛肉 karubi choice,金山,Beef,抄,美國,ibp,2023-10-30,choice,,,,,,$ 3 8.0,LB,其士,
39,39, ibp 肥牛肉 no roll short plate,肥牛肉 no roll short plate,金山,Beef,抄,美國,ibp,2023-10-30,nr,,,,,,$ 2 1.5,LB,其士,
40,40, excel 肥牛肉 no roll short plate,肥牛肉 no roll short plate,金山,Beef,抄,美國,excel,2023-10-30,nr,,,,,,$ 2 1.2,LB,其士,
41,41, i. b. p. 橫隔肌 cab,橫隔肌,金山,Beef,抄,美國,ibp,2023-10-30,cab,,,,,,$ 5 0.0,LB,其士,
42,42, i. b. p. 橫隔肌 choice,橫隔肌,金山,Beef,抄,美國,ibp,2023-10-30,choice,,,,,,$ 4 8.0,LB,其士,
43,43, i. b. p. 橫隔肌 nr,橫隔肌,金山,Beef,抄,美國,ibp,2023-10-30,nr,,,,,,$ 3 9.0,LB,其士,
44,44, tboer 白牛仔柳,白牛仔柳,金山,Beef,抄,荷蘭,tboer,2023-10-30,,,,,,,$ 100.0,LB,其士,
